順位,ネーム,チャンネルネーム,所属グループ,登録者数,再生回数
70,渋谷ハル,渋谷ハル,upd8,"271,000","73,977,763"
71,獅白ぼたん,Botan Ch.獅白ぼたん,ホロライブ,"269,000","4,990,255"
72,加賀美ハヤト,加賀美 ハヤト/Hayato Kagami,にじさんじ(統合後),"263,000","34,872,970"
73,シスター・クレア,シスター・クレア -SisterClaire-,にじさんじ(SEEDs出身),"263,000","28,066,102"
74,Andi Adinata,Andi Adinata Channel,,"261,000","18,123,849"
75,ハロー キティ,HELLO KITTY / ハローキティ【Sanrio Official】,サンリオ,"260,000","24,365,270"
76,郡道美玲(ぐんどうみれい),【3年0組】郡道美玲の教室,にじさんじ(統合後),"259,000","30,402,584"
77,ベルモンド・バンデラス,,にじさんじ(SEEDs出身),"259,000","28,193,412"
78,でびでび・でびる,でびでび・でびる,にじさんじ(SEEDs出身),"255,000","25,122,720"
79,アキ・ローゼンタール,アキロゼCh。Vtuber/ホロライブ所属,ホロライブ,"255,000","5,080,089"
80,マヤ・プトゥリ,Maya Putri,,"252,000","12,787,887"
81,キミノ ミヤ(MIYA KIMINO),Japanese HANJO! TV,upd8,"252,000","6,240,135"
82,夜空メル,Mel Channel 夜空メルチャンネル,ホロライブ,"252,000","2,462,172"
83,バーチャルおばあちゃん(VB),バーチャルおばあちゃんねる,,"251,000","63,643,755"
84,花鋏キョウ,花鋏キョウ/キョウちゃんねる,Re:AcT,"250,000","34,784,621"
85,鷹宮リオン,鷹宮リオン,にじさんじ(SEEDs出身),"249,000","34,473,845"
86,常闇トワ(とこやみとわ),Towa Ch. 常闇トワ,ホロライブ,"248,000","8,917,245"
87,おめがレイ おめがリオ,おめがシスターズ [Ω Sisters],upd8,"247,000","63,432,108"
88,鹿乃チャンネルofficial,,,"241,000","29,953,568"
89,雪花ラミィ,Lamy Ch. 雪花ラミィ,ホロライブ,"240,000","4,533,682"
90,舞元啓介,,にじさんじ(SEEDs出身),"239,000","36,391,038"
91,黛灰(まゆずみかい),黛 灰 / Kai Mayuzumi【にじさんじ】,にじさんじ(統合後),"238,000","33,024,763"
92,織田信姫,,,"238,000","31,615,576"
93,杏仁ミル,,YahooTV,"234,000","10,749,533"
94,尾丸ポルカ,Polka Ch. 尾丸ポルカ,ホロライブ,"233,000","5,954,268"
95,夜見れな(よるみれな),夜見れな/yorumi rena【にじさんじ所属】,にじさんじ(統合後),"230,000","29,262,669"
96,Aisha Channel,,,"223,000","12,424,224"
97,健屋花那(すこやかな),健屋花那【にじさんじ】KanaSukoya,にじさんじ(統合後),"220,000","15,079,324"
98,APOKI TV,,,"219,000","13,519,142"
99,ドーラ,,にじさんじ(SEEDs出身),"218,000","19,661,376"
100,エクス・アルビオ,エクス・アルビオ -Ex Albio-,にじさんじ(統合後),"217,000","32,802,686"
101,花畑チャイカ,花畑チャイカ,にじさんじ(SEEDs出身),"212,000","27,098,549"
102,ジョー・力一(じょーりきいち),ジョー・力一 Joe Rikiichi,にじさんじ(SEEDs出身),"212,000","22,097,947"
103,名取さな,さなちゃんねる,,"212,000","16,134,371"
104,神楽めあ,神楽めあ / KaguraMea,ぱりぷろ,"206,000","11,592,308"
105,剣持刀也,剣持刀也,にじさんじ(1・2期生),"202,000","31,019,279"
106,物述有栖,♥️♠️物述有栖♦️♣️,にじさんじ(1・2期生),"202,000","15,287,634"
107,童田明治(わらべだめいじー),童田明治-わらべだめいじー-,にじさんじ(統合後),"201,000","18,120,605"
108,因幡はねる,Haneru Channel / 因幡はねる 【あにまーれ】,あにまーれ,"200,000","35,360,585"
109,アズマリム(アズリム),Azuma Lim Channel -アズマ リム-,,"196,000","11,193,846"
110,クレア,クレア英会話,Brave group,"193,000","6,557,447"
111,夢追翔,夢追翔のJUKE BOX,にじさんじ(SEEDs出身),"192,000","28,519,881"
112,ピンキーポップヘップバーン,Pinky Pop Hepburn Official,VIC,"192,000","9,246,298"
113,馬犬,BKNChannel,転生組,"192,000","2,424,316"
114,懲役太郎,懲役太郎チャンネル,upd8,"190,000","35,531,876"
