順位,ネーム,チャンネルネーム,所属グループ,登録者数,再生回数
323,邪神ちゃんねる,,,"61,900","10,468,899"
324,にじさんじ公式切り抜きチャンネル【NIJISANJI Official Best Moments】,,にじさんじ(1・2期生),"61,900","2,845,104"
325,アメノセイ,アメノセイ-AMENOSEI,,"61,800","4,770,847"
326,YadiDoll zaotome(海外),YadiDoll zaotome,,"61,500","5,010,924"
327,島村シャルロット,Charlotte Channel / 島村シャルロット【ハニスト】,ハニーストラップ,"61,300","5,097,003"
328,すーぱーそに子,すーぱーそに子ちゃんねる,WFLE,"61,300","2,593,418"
329,乾伸一郎,乾ちゃんねる,VEEMusic,"61,300","2,139,846"
330,矢車りね,矢車りね - Rine Yaguruma -,にじさんじ(SEEDs出身),"61,000","1,375,956"
331,北小路ヒスイ,北小路ヒスイ / Kitakoji Hisui 【にじさんじ】,にじさんじ(統合後),"60,700","1,406,549"
332,牛巻りこ,牛巻 りこ,.LIVE,"60,400","1,565,462"
333,ARu子,,,"60,100","4,959,298"
334,ビートまりお / COOL&CREATE,,転生組,"60,000","4,287,982"
335,日雇礼子,日雇礼子のドヤ街暮らしチャンネル,,"59,400","5,859,132"
336,すあだちゃんねる,,転生組,"59,200","10,025,898"
337,Planya Сhannel,,,"59,000","2,093,160"
338,直感×アルゴリズム♪,Live Animation Heart x Algorhythm,,"58,600","5,554,965"
339,天川アルト,Amakawa Alto 天川アルト,ぶいめん,"58,200","1,371,872"
340,メイドのユキさん,メイドのユキさん 調教少女,,"57,400","7,160,376"
341,鈴谷アキ(旧チャンネル),アキくんちゃんネル,にじさんじ(1・2期生),"57,300","3,105,163"
342,Popo Kids「ポポキッズ」,,転生組,"57,100","30,921,330"
343,大河ユウ,Taiga Yu 大河ユウ,ぶいめん,"57,000","799,087"
344,ちくわ,ちくわちゃんねる,,"56,700","3,346,458"
345,陽向葵ゅか,,,"56,600","4,660,185"
346,夕闇ルキア,Yuyami Lukia 夕闇ルキア,ぶいめん,"56,300","878,377"
347,先端恐怖症 / Sentan,,転生組,"56,200","16,205,240"
348,安土桃,安土桃,にじさんじ(SEEDs出身),"56,100","1,119,893"
349,眠未ねる,Nemumi Neru 眠未ねる,ぶいめん,"55,600","743,788"
350,ゆらんchannel,,,"55,500","25,117,289"
351,伊東ライフ,,,"55,400","1,494,487"
352,SLAVE V-V-R,,,"55,300","11,568,397"
353,今酒ハクノ,Hakuno Imasaka,,"55,300","8,036,269"
354,型落おねーさん,型落チャンネル,,"54,800","6,497,727"
355,律可,Rikka ch.律可,ホロスターズ,"54,600","2,072,915"
356,瀬兎一也/SetoKazuya,,あふたーしーくれっと,"54,400","5,208,919"
357,THE BINARY mido & あかまる,,,"54,100","5,170,913"
358,【おきなわ部】根間うい,,,"54,100","3,737,921"
359,周央サンゴ,周央 サンゴ / Suo Sango【にじさんじ】,にじさんじ(統合後),"54,000","827,605"
360,緋笠トモシカ,緋笠トモシカ - Tomoshika Hikasa -,VOMS,"53,800","1,755,786"
361,三崎のなか,,,"53,000","2,794,994"
362,地球ちゃん(海外),Земля Чан,,"53,000","1,441,242"
363,みなかぜアメ,Ame Channel -みなかぜアメ-,あいすらぼ,"52,900","4,230,580"
364,響木アオ,響木アオ-HibikiAo-,upd8,"52,900","4,035,598"
365,祭 雛子/まつり ひなこ,,,"51,900","6,049,450"
366,虹河ラキ,Laki Station ラキステーション,upd8,"51,500","3,233,195"
367,磁富モノエ,,VOMS,"51,300","1,555,935"
368,バチュアルモンスター(海外),버츄얼몬스터,,"51,100","8,335,900"
369,まどろみもあ,More Channel-まどろみもあ-,あいすらぼ,"50,700","3,600,133"
370,Lumi Celestia,Lumi Celestia Ch.,,"50,700","679,491"
371,ヰ世界情緒(いせかいじょうちょ),ヰ世界情緒,神椿,"50,500","4,561,136"
372,MikuRu-0 Project,,,"50,200","1,233,814"
373,放課後ミッドナイターズ,【公式】放課後ミッドナイターズチャンネル,,"49,800","4,168,180"
374,しきぶTV,,,"49,500","12,440,386"
375,夜の雑学 金美館通りの藤村さん,,,"49,400","11,986,589"
376,ンヌグム,ォ逅,,"49,300","5,700,924"
377,Darin V,,,"49,200","1,330,907"
378,ゴールドシップ(ゴルシ),ぱかチューブっ!,,"47,500","4,217,394"
379,語部紡(かたりべつむぐ),語部紡,にじさんじ(統合後),"47,100","470,298"
380,千羽黒乃,,,"46,200","1,821,660"
381,春崎エアル,春崎エアル,にじさんじ(SEEDs出身),"45,900","1,197,254"
382,なちょこ,NACHOCO Channel,WFLE,"45,600","2,191,198"
383,鳳玲天々(ホウレイ・テンテン),Tenten Ch. / 鳳玲天々【めるぷら】,,"45,600","1,692,723"
384,高槻りつ,高槻りつ / Takatsuki ritsu,ぱりぷろ,"45,500","1,600,558"
385,TOKYO WAVE!,,,"45,300","4,645,129"
386,射貫まとい,射貫まといちゃんねる,Re:AcT,"45,300","4,484,574"
387,音俣るか,RUKA Ch. - 音俣るか -,,"45,100","280,495"
388,風見くく,Kuku Channel / 風見くく 【あにまーれ】,あにまーれ,"45,000","1,289,363"
389,KOGEINU2525,,,"44,300","354,662"
390,コゲ犬の犬小屋,,,"44,300","354,662"
391,浅瀬ゆうぎ,OL CHANNEL,,"44,200","5,154,077"
392,名伽尾アズマ(なかお あずま),名伽尾アズマ☀️,,"44,200",0
393,りんくろー,りんくろー事務所,WFLE,"43,900","1,932,104"
394,柚木玲奈(ライブ),Reina Official Live,えもえち,"43,900","980,406"
395,奏天まひろ 燈舞りん 音葉なほ 鈴鳴すばる,まりなすチャンネル【仮】,,"43,500","5,775,375"
396,皆守ひいろ,皆守ひいろ/ Hero Minamori,元ENTUM,"43,500","1,550,194"
397,届木ウカ,届木ウカ/Todoki Uka Channel,元ENTUM,"43,200","2,247,827"
398,花芽すみれ,すーちゃんねる,ぶいすぽっ!,"42,900","2,542,719"
399,キャサリン・ワード,殺戮の天使公式チャンネル,,"42,900","1,798,613"
400,成瀬鳴,成瀬 鳴,にじさんじ(SEEDs出身),"42,800","1,684,621"
401,月下カオル(つきしたかおる),Kaoru Ch.月下カオル,,"42,100","1,208,280"
402,乾物ひもの(かんぶつひもの),ひものちゃんねる -HIMONO CHANNEL-,,"42,000","2,276,490"
403,くるみ,くるみ!,,"41,700","2,358,761"
404,ヤマダ,プロジェクト東京ドールズチャンネル,,"41,700","2,332,007"
405,キミノハナマル【公式】channel,,,"41,600","17,171,067"
406,市松人形Vtuber市松寿ゞ謡,,,"41,400","5,873,437"
407,朝日南アカネ,朝日南アカネ / Asahina Akane 【にじさんじ】,にじさんじ(統合後),"41,300","833,880"
408,ヒヅキミウ,ヒヅキミウ/MIU CHANNEL,WACTOR,"40,900","1,819,003"
409,野外料理製作/CAMPPER'S HORIZON,,,"40,500","11,067,386"
410,柊彩香 朝倉日向,あやひなチャンネル,Brave group,"40,500","2,809,695"
411,セフィラ・スゥ,,,"40,500","1,469,010"
412,スライム子,オバマス放送局 / オーバーロード,,"40,400","2,386,347"
413,東雲めぐ,MeguRoom,Gugenka,"40,200","749,848"
414,竹花ノート,ノート竹花,バ美肉,"40,200","491,514"
415,ロロ,,,"40,100","319,675"
416,海夜叉神,海夜叉神/黄泉波咲夜【にじさんじ】,,"40,100",0
417,天輝おこめ,-おこめチャンネル-Okome Channel,,"39,800","2,526,736"
418,幽ヶ崎海愛(ゆうがさきうみ),うみCh.幽ヶ崎海愛,星めぐり学園,"39,800","806,055"
419,東堂コハク,東堂コハク/ Todo Kohaku [にじさんじ],にじさんじ(統合後),"39,700","706,683"
420,バーチャル執事Cecilia,,,"39,100","5,955,249"
421,鈴木あんず 白藤環 夏目ハル 日向奈央 栗原桜子(えのぐ),【VRアイドル】えのぐチャンネル,岩本町芸能社,"39,100","2,882,208"
422,ヌール,Noor【NIJISANJI IN】,NIJISANJI EN,"38,400","771,556"
423,有栖マナ,有栖マナ/Alice mana 【541 E&C】,ぱりぷろ,"38,000","349,431"
424,ゼア・コルネリア,ZEA Cornelia Ch.【NIJISANJI id】,NIJISANJI ID,"37,900","1,016,494"
425,アルム・フェルラーベン,アルム 虜獲得チャンネル,PinkPunkPro,"37,900","359,574"
426,緑仙サブチャンネル,みどりのさぶちゃんねる,にじさんじ(SEEDs出身),"37,800","1,563,400"
427,楪帆波(ゆずりはほなみ),楪 帆波-Yuzuriha Honami-,星めぐり学園,"37,800","1,060,890"
428,めいでん,,OPEN BETA,"37,700","3,476,387"
429,あっくん大魔王,,,"37,600","2,688,553"
430,わにこ沼地辺境伯,,,"37,600","1,520,913"
431,月見しずく,,,"37,600","878,916"
432,花奏かのん(かなでかのん),花奏 かのん -Kanade Kanon Official-,ブイアパ,"37,500","2,457,440"
433,メンラボ!,,,"37,300","5,213,991"
434,ユキミお姉ちゃん,ユキミお姉ちゃんねる,,"36,900","2,795,565"
435,かいとんスタジオ,,,"36,700","9,595,965"
436,紙代なつめ,Natsume Ch / 紙代なつめ【めるぷら】,,"36,400","2,186,065"
437,夕刻ロベル,Roberu Ch. 夕刻ロベル,ホロスターズ,"36,300","1,343,361"
438,エマ・ミナミ,Emma Hazy Minami,,"36,200","3,948,191"
439,プラム,,,"36,100","1,500,520"
440,万楽えね(まぐら えね),バーチャルYouTuber万楽えね,,"35,900","2,182,544"
441,粛正罰丸,,,"35,800","2,852,195"
442,loveちゃん・あいぴー,love-pii channel,,"35,700","851,530"
443,花丸はれる,花丸はれる / Hareru Hanamaru,花寄女子寮,"35,500","1,660,886"
444,にじさんじ公式(サブチャンネル),にじさんじ[公式サブch],にじさんじ(1・2期生),"35,300",0
445,花芽なずな,なずちゃんねる,ぶいすぽっ!,"35,100","1,963,511"
446,夢魔ぺろり,夢魔ぺろりPerori Muma,,"34,500","2,958,974"
447,ぼっちぼろまる,,,"34,400","4,057,647"
448,をとは(海月ねう),0108 official,upd8,"34,400","1,351,702"
449,しのぎチャンネルShinogi Channel,,,"34,300","11,342,717"
450,白宮みみ,Mimi Channel / 白宮みみ 【あにまーれ】,あにまーれ,"34,200","1,603,980"
451,胡桃のあ,,ぶいすぽっ!,"34,000","1,452,000"
452,源元気,Gengen Channel,,"33,800","2,885,862"
453,あるふぁブラザーズ,,upd8,"33,800","902,048"
454,姫熊りぼん,,Re:AcT,"33,600","2,307,043"
455,タカ・ラディマン,Taka Radjiman Ch.,NIJISANJI ID,"33,400","1,184,778"
456,神狐かなチャンネル / Kamiko Kana Channel,,,"33,100","740,977"
457,本間ひまわり(サブチャンネル),本間ひまわり切り抜きチャンネル,にじさんじ(ゲーマーズ出身),"33,000","4,028,782"
458,谷田透佳 立花鈴,Marprilチャンネル,岩本町芸能社,"32,700","2,670,420"
459,雑葉学美 - Zouba Channel,,,"32,500","6,672,489"
460,華香院つばき,,OPEN BETA,"32,300","1,633,663"
461,ラトナ・プティ(サブチャンネル),ラトナ・プティ.RatnaPetit《にじさんじ所属》,にじさんじ(統合後),"32,000",0
462,柚原いづみ(ゆのはらいづみ),Izumi Channel / 柚原いづみ 【あにまーれ】,あにまーれ,"31,900","1,221,515"
463,飛鮫ナミ 海月ナギ,ナギナミちゃんねる,,"31,700","2,392,872"
464,ハニーストラップ公式,HoneyStrap Official / ハニーストラップ公式,ハニーストラップ,"31,700","1,573,712"
465,聖女れりあ,,,"31,600","891,982"
466,はなつぐ / Hanatsugu,,,"31,600","427,605"
467,虎妮(フニー),Hoonie friends,YahooTV,"31,400","2,651,665"
468,春日部つくし,春日部つくし,upd8,"31,400","922,387"
469,八朔ゆず,八朔ゆず【にじさんじ】,,"31,400",0
470,皇牙サキ,とりま、サキんち寄ってく?,,"31,300","1,067,454"
471,Team双葉湖,,,"31,200","3,036,108"
472,琥珀ねね,,,"30,900","1,360,525"
473,桜乃ましろ,,OPEN BETA,"30,600","1,563,571"
474,夕悠夜赤,夕悠夜 赤.二代目・赤.,VEEMusic,"30,100","4,680,126"
475,文化放送V&R,,,"30,100","1,024,836"
476,奇想天外あにびっと!,,あにまーれ,"30,000","6,316,415"
477,天川はの(あまかわはの),天川はの,Re:AcT,"30,000","2,539,504"
478,パカエル / Pakael,,,"30,000","2,302,315"
479,風宮まつり,風宮まつり / Matsuri Channel,Balus,"30,000","1,094,319"
480,雅まつり 雅雪巴 雅さくら 雅紅羽,まじかるどーる / Magical Doll,UUUM,"29,900","3,977,936"
481,マリー・アンドロイド 青山ジンベエ,マリーちゃんのチャンネル,,"29,700","2,027,844"
482,奏手イヅル,Izuru Ch. 奏手イヅル,ホロスターズ,"29,600","588,808"
483,かめっち,かめっちTV【バーチャルおやじユーチューバー】,,"29,300","871,947"
484,鈴木勝(旧),D.E.放送局【鈴木勝/にじさんじ】,にじさんじ(SEEDs出身),"29,200","785,054"
485,久檻夜くぅ,久檻夜くぅ/くぅちゃんねる,Re:AcT,"29,200","713,010"
486,小森めと,Met Channel / 小森めと 【ブイアパ】,ブイアパ,"29,000","1,085,015"
487,みみたろうChannel,,,"28,700","812,500"
488,荒咬オウガ(あらがみおうが),Oga Ch.荒咬オウガ,ホロスターズ,"28,500","437,200"
489,千草はな,千草はな / Chigusa Hana,ぱりぷろ,"28,300","936,465"
490,シエラ・ルーニス(Overidea),Overidea公式/オーバーライディア,,"28,300","934,273"
491,おいよ,,,"28,200","1,784,780"
492,桜月花音,のんちゃんねる【桜月花音】,upd8,"28,200","1,615,117"
493,幼龍埜ゆい,,VGaming,"28,200","1,106,267"
494,Clarra Charlone(海外),Clarra Charlone Official,,"28,200","952,103"
495,カフェ野ゾンビ子,Zombi-Ko Channel,upd8,"28,100","2,427,981"
496,Evelyn -Vtuber-,,,"28,100","645,699"
497,白雪レイド,白雪レイドーReid Channelー,VGaming,"27,800","2,040,760"
498,ミディ,ミディ / 作曲バーチャルyoutuber,元ENTUM,"27,800","1,007,444"
499,イル_フローラ,,,"27,700","2,412,731"
500,シロ(ゲーム),電脳少女シロGames,.LIVE,"27,700","104,576"
501,羽宮のあ,,OPEN BETA,"27,600","2,288,849"
502,シン・ユヤ,신유야 / Yuya Shin 【NIJISANJI KR】,NIJISANJI KR,"27,600","849,291"
503,柾花音(まさきかのん),まかのん channel（仮）,,"27,600","158,470"
504,花雲くゆり,,,"27,400","246,473"
505,VTuber AdPro廣告達人,,,"27,300","5,865,673"
506,可憐,「シスター・プリンセス」20周年チャンネル,,"27,300","1,720,069"
507,弐珠司,ふたたまちゃんねる,,"27,200","1,725,268"
508,石狩あかり,石狩あかり/あおぎり高校,あおぎり高校,"27,200","695,531"
509,宇宙人Psyder,,,"27,200","467,136"
510,TEN,TENイシノマキ,転生組,"27,100","16,199,920"
511,イオウ/Iaughingfox,,,"27,100","1,529,593"
512,水科葵(みずしなあおい),水科葵の日常RPG,GEMS COMPANY,"26,900","1,856,880"
513,根羽清ココロ,Cocoro Ch by ロート製薬,,"26,900","1,578,991"
514,KoyaBottons,,,"26,800","1,248,220"
515,YumemiChannel,,,"26,700","862,496"
516,Note: - Vsinger -,,,"26,700","706,624"
517,麗子ちゃんねる,,,"26,600","487,197"
518,野々宮ののの,野々宮ののの / Nonono Nonomiya,花寄女子寮,"26,500","779,817"
519,御来屋久遠,御来屋 久遠 -mikuriya 9on-,元ENTUM,"26,300","1,109,918"
520,エルセとさめのぽき,,,"26,200","1,686,451"
521,影山シエン,Shien Ch.影山シエン,ホロスターズ,"26,000","605,996"
522,水菜月夏希,なつきちゃんねる*。/あおぎり高校,あおぎり高校,"25,900","222,924"
523,ハシビロさん研究所,,,"25,800","1,899,142"
524,cerita tessa(海外),cerita tessa,,"25,600","550,158"
525,がぶりえる-GabrielChannel-,,,"25,200","2,129,633"
526,バーチャルネットアイドルちゆ12歳,バーチャルネットアイドルちゆ12歳,,"25,000","1,941,876"
527,桜木建二,ドラゴン桜チャンネル,,"24,900","2,522,586"
528,NIJISANJI EN公式,NIJISANJI English Official,NIJISANJI EN,"24,800","614,472"
529,シラクサアーカイブス,,,"24,700","11,925,265"
530,ジェイブ-VTuber-,,,"24,700","529,990"
531,ふらむChannel,,,"24,400","21,338,649"
532,REALITY Studio,,WFLE,"24,400","1,263,786"
533,桜樹みりあ,桜樹みりあ-ゲーム部,Brave group,"24,400","921,139"
534,毒のお兄さん,,,"24,400","851,848"
535,琴月てと,琴月てとチャンネル,,"24,300","2,181,267"
536,悪魔のメムメムちゃんねる,,,"24,300","765,796"
537,おさナズナ,おさナズちゃんねる -OsaNazu Channel-,Akihabara Lab,"24,200","1,149,064"
538,小東ひとな(こひがしひとな),小東ひとな / Hitona Kohigashi,花寄女子寮,"24,100","909,901"
539,アルランディス,Aruran Ch. アルランディス,ホロスターズ,"24,100","321,754"
540,橘涼葉(たちばなすずは),橘 涼葉,,"24,000","2,135,122"
541,鏡見キラ,Kira Ch. 鏡見キラ,ホロスターズ,"24,000","322,848"
542,綺羅星ウタ,綺羅星ウタ/ウタちゃんねる,Re:AcT,"23,900","2,208,091"
543,キズナアイ(China),A.I.Channel China,,"23,600","557,155"
544,ゲヱム道館,,,"23,500","1,926,505"
545,小山内めい 小山内いちか,バーチャル園児-めいちゃんねる,upd8,"23,500","1,393,753"
546,龍ヶ崎リン,Rene Channel / 龍ヶ崎リン 【シュガリリ】,シュガーリリック,"23,500","1,074,689"
547,アミシア・ミシェラ,Amicia Michella【NIJISANJI id】,NIJISANJI ID,"23,200","663,325"
548,榎宮祐,,バ美肉,"23,200","115,980"
549,メノ(Meno),,,"23,100","16,767,306"
550,歌衣イツミ,イツミちゃんねる,,"23,100","521,063"
551,いるはーと,いるはーと,,"22,900","999,219"
552,けもみみおーこく,,,"22,800","548,942"
553,琴みゆり,琴みゆり/わいちゃんねる,Re:AcT,"22,600","1,750,552"
554,十刹那さん十寒色系voice。,,,"22,500","1,374,719"
555,羽柴なつみ,Natsumi Channel / 羽柴なつみ 【あにまーれ】,あにまーれ,"22,400","906,678"
556,佐藤麗華,佐藤麗華【22/7公式】,22/7,"22,200","720,664"
557,結目ユイ,結目ユイ【YuiTube】,AVATAR2.0,"22,200","351,125"
558,コグレピヨコ,コグレピヨコ / PIYOKO CHANNEL,WACTOR,"22,100","432,039"
559,ニーツ（VT-212）,ニーツちゃんねる,元ENTUM,"22,000","1,019,223"
560,獅子王クリス,Chris Channel / 獅子王クリス 【シュガリリ】,シュガーリリック,"22,000","804,851"
561,さはな,さはな【VTuber】,,"21,900","2,252,503"
562,ころね ぽち,ころね ぽち -Pochi korone-,,"21,900","1,620,861"
563,カナタヒカリ,Kanata Hikari / LYTO,,"21,800","3,303,147"
564,神城くれあ(麗),神城くれあ/Kurea Channel【おとりざ】,元おとりざ,"21,800","1,116,518"
565,VRScout,,,"21,700","6,415,801"
566,夜子・バーバンク,夜子・バーバンク / 映画紹介VTuber,Balus,"21,600","714,772"
567,Paryi Channel,,ぱりぷろ,"21,600","80,404"
568,あめのむらくもP Official Channel,,,"21,500","1,977,393"
569,姫咲ゆずるHimesaki Yuzuru,,のりプロ,"21,300",0
570,アンネと鵼の魑魅魍魎チャンネル,,,"21,100","1,717,842"
571,ぴろぱる,,,"21,100","1,039,388"
573,＠ねこかみちゃんねる！,,,"21,000","961,404"
574,HIMARI Channel,,,"21,000","945,619"
575,さょちゃん,Sayo Channel,,"21,000","922,196"
576,ぺぺろん,ぺぺろん /現役セクシー女優の異世界転生,,"21,000","651,046"
577,カッパはんちょー,,,"20,922",0
578,バーチャルクラフター塩胡椒,,,"20,900","2,114,894"
579,緋色すもも,,セガ,"20,900","1,409,799"
580,現よみchannel,,,"20,900","554,503"
581,椿正義チャンネル,,,"20,800","2,980,011"
582,馬越健太郎,馬越健太郎チャンネル,岩本町芸能社,"20,800","1,477,225"
583,梔子スイ,梔子スイ / Sui Kuchinashi,,"20,800","8,026"
584,ニー子ちゃんねる,,,"20,700","492,767"
585,Pinky Fantastic,,,"20,600","4,376,985"
586,乙女おと,乙女おと / Otome Oto,ぱりぷろ,"20,600","444,282"
587,花咲みやび,Miyabi Ch. 花咲みやび,ホロスターズ,"20,600","327,409"
588,臓器悪い系バーチャルYouTuber狼娘ちゃんアットおどろく,,,"20,500","1,598,883"
589,歌衣アズミ,アズミちゃんねる,,"20,500","410,617"
590,ホロライブID公式,hololive Indonesia,ホロライブ,"20,500","287,131"
591,怪奇！YesどんぐりRPG,,,"20,400","7,603,991"
592,ハネたん魔法陣HeartTV,,転生組,"20,400","6,332,186"
593,蒔田陽丸,ひま食堂channel -HIMASHOKUDO channel-,,"20,400","1,607,814"
594,Vtuberシーエ,,,"20,400","1,047,253"
595,森永みう/Morinaga Miu,,ぱりぷろ,"20,400","527,110"
596,熊谷タクマ,Kumagaya Takuma熊谷タクマ,のりプロ,"20,400","33,250"
597,蒼乃ゆうき,,,"20,300","544,034"
598,バーチャルねこ,,upd8,"20,200","2,286,065"
599,夜乃ネオン,Yoruno Neon Project,upd8,"20,200","547,459"
600,虎城アンナ,Anna Channel / 虎城アンナ 【シュガリリ】,シュガーリリック,"20,200","536,249"
601,天羽よつは,,VGaming,"20,100","2,078,276"
602,柾花音(まさきかのん),まかのんれこーず,,"20,100","201,243"
603,ちゃんねるサーヤ,,,"20,000","374,358"
604,ヘル様,Hell Channel-ヘル様-,あいすらぼ,"19,900","795,064"
605,Ryuki M426,,,"19,800","6,635,384"
606,FPSやめれないんだけどwwTV,,,"19,800","1,244,891"
607,Eve,Eve scp,upd8,"19,800","469,864"
608,ホロスターズ公式,,ホロスターズ,"19,800","351,402"
609,KAMITSUBAKI STUDIO,,神椿,"19,800","233,489"
610,青猫*Vtuber＆ゆっくり*,,,"19,700","5,036,086"
611,皇噛ユカリ,Yukari Ch / 皇噛ユカリ【METEO】,しゅがすて,"19,600","4,415,265"
612,つのはねあかぎ 天目童心,天目童心Channel,upd8,"19,600","845,328"
613,花野蜜,花野蜜【ENTUM所属】,元ENTUM,"19,600","716,653"
614,Lyrica Ch.,,,"19,600","325,933"
615,柚木凛,ゆずきチャンネル,,"19,500","679,501"
616,オッドアイ,/ ODDAIオッドアイ,,"19,200","5,388,984"
617,鳴神裁のもしもこの世界が平和だったら,,,"19,200","433,741"
618,VALIS,,,"19,100","3,461,870"
619,廣川龍,,,"19,100","541,357"
620,七瀬タク,七瀬タク-Official Channel-,Akihabara Lab,"19,000","1,206,034"
621,梵雪音(そよぎせつね),せつねこチャンネル,えもえち,"19,000","1,087,342"
622,双理マイ,双理マイ/マイちゃんねる,,"18,900","1,606,326"
623,ミソシタ,poemcore tokyo,,"18,800","2,371,630"
624,Palette Project Channel,,,"18,700","1,525,178"
625,インサイドちゃん,インサイドちゃん,,"18,700","1,252,822"
626,シア,,,"18,600","8,772,950"
627,日ノ森あんず,あんずちゃんねる/Anzu channel,バ美肉,"18,600","1,653,840"
628,ReVdol!(リブドル!),『ReVdol!』公式チャンネル,,"18,500","2,146,664"
629,季咲あんこ,Anko Channel / 季咲あんこ 【ブイアパ】,ブイアパ,"18,400","821,021"
630,Ryuuseee Official,,,"18,400","645,258"
631,花守へるし,Healthy Ch. / 花守へるし【めるぷら】,,"18,400","531,155"
632,花園セレナ,,ぱりぷろ,"18,400","317,864"
633,ピンキーポップヘップバーン(サブチャンネル),ぴんきーぽっぷへっぷばーんの巣,VIC,"18,400","253,821"
634,星めぐり学園,星めぐり学園,星めぐり学園,"18,400","242,965"
635,《Virtual ASMRerS》 ASMR ・ボイスドラマ,,,"18,200","5,343,582"
636,軍師ミノル,,,"18,200","2,227,915"
637,ニジキユイ/Yui-Virtual Singer-,,,"18,100","3,682,888"
638,バーチャルエコノミスト 千莉,,,"18,100","1,143,389"
639,岸堂天真(きしどうてんま),Temma Ch. 岸堂天真,ホロスターズ,"18,100","251,441"
640,としおちゃんねる,,,"18,000","239,514"
641,ゆっくり茶番探偵「田中」,,,"17,900","3,920,252"
642,アステル・レダ,astel ch.アステル,ホロスターズ,"17,700","395,226"
643,るあちゃんねる,,,"17,500","2,804,437"
644,六道冥,地獄ちゃんねる,,"17,500","630,225"
645,滝川みう,滝川みう【22/7公式】,22/7,"17,500","244,512"
646,葉山みどチャンネル/Hayama Mido Ch.,,バ美肉,"17,400","637,910"
647,大代真白,大代真白/あおぎり高校美術部,あおぎり高校,"17,400","260,185"
648,MIZUNO CABBAGE,,,"17,300","1,881,389"
649,姫宮ナオ-ゆっくりナオ,,,"17,200","3,424,773"
650,アネネはVtuber,,,"17,200","827,532"
651,夢咲楓,夢咲楓-ゲーム部,Brave group,"17,200","757,755"
652,マールいわっか,,,"17,200","523,153"
653,アンジェラ・フレイ,,,"17,072",0
654,多々星シエル(ただせしえる),多々星シエル/シエルちゃんねる,,"17,000","1,321,649"
655,九条林檎,九条 林檎【Kujo Ringo Official】,AVATAR2.0,"17,000","593,613"
656,Rook Austin,,,"16,900","4,380,677"
657,フィンダーおじさん,,,"16,900","1,466,039"
658,河野都,河野都【22/7公式】,22/7,"16,900","315,678"
659,ポポナ,イドラチャンネル,セガ,"16,800","1,360,908"
660,パンディ,パンディチャンネル,upd8,"16,700","695,356"
661,アイスルメ,,,"16,600","9,689,012"
662,いも栗Channel,,,"16,600","772,541"
663,永久累ちゃんねる,,,"16,600","104,824"
664,みとまろゲームズ【夫婦でVtuber】,,,"16,400","3,194,068"
665,白咲べる / Bell Channel,,,"16,400","1,064,115"
666,花幽カノン,,,"16,400","757,759"
667,ツキト ハナ - Hana Tsukito -,,WACTOR,"16,400","512,256"
668,SZK.chしずくちゃんねる,,,"16,400","278,470"
669,ミユ・オッタヴィア,Miyu Ottavia 【NIJISANJI id】,NIJISANJI ID,"16,300","380,518"
670,いわながちゃん(岩永太貴),いわながちゃん,,"16,300","87,315"
671,ナナホシすず,ナナホシすず Nanahoshi Suzu / エジエレキ edielec,,"16,200","1,250,774"
672,灰宮けい,Kei Channel -灰宮けい-,あいすらぼ,"16,200","684,686"
673,水瓶ミア,水瓶ミア/ミアちゃんねる,Re:AcT,"16,100","838,447"
674,ミツルギリア,ミツルギリア LIA CHANNEL,WACTOR,"16,100","260,024"
675,天導菜々蜜 Vtuberトシユキch,,,"16,000","5,202,602"
676,GEMS COMPANY公式チャンネル,,GEMS COMPANY,"16,000","1,655,968"
677,夏目シシ,-シシチャンネル-Shishi Channel,,"16,000","1,135,296"
678,餅月ひまり,ひまりちゃんねる,,"16,000","31,498"
679,たまチャンネル,,,"15,900","5,711,611"
680,チャンチョのゲーム部屋,,,"15,900","1,230,015"
681,遥そらチャンネル,,,"15,900","335,375"
682,如月こより,如月こより / KisaragiKoyori,,"15,900","259,324"
683,滓残,,,"15,900","83,657"
684,千条アリア/ARIA PROJECT,,,"15,800","1,012,895"
685,戸田ジュン,戸田ジュン【22/7公式】,22/7,"15,800","169,305"
686,ルチカ,ルル＝ルチカ,アマリリス組,"15,700","1,232,231"
687,桜美ゆな,Yuna Channel - 桜美ゆな -,,"15,700","1,090,009"
688,宇佐元杏奈,あんなチャンネル / Anna Channel,,"15,700","967,895"
689,おるそなー【OrusonaGames】,,,"15,600","4,277,767"
690,Wanna Join the Elle Cult?,,,"15,600","254,532"
691,がそりんチャンネル,,,"15,500","9,971,798"
692,一翔剣,一翔剣ちゃんねる,,"15,500","1,858,860"
693,クックパッドたん,クックパッドたん / Cooking Fairy,,"15,500","336,688"
694,舞鶴よかと,福岡バーチャルぶらり旅よかとプロジェクトR,,"15,500","317,587"
695,カヘルチャンネル,,,"15,500","268,779"
696,Siro(Game),Siro Games,.LIVE,"15,500","32,585"
697,カオスロキ -Chaos Loki-,,,"15,300","992,575"
698,Icotsu,ico通夜の黄泉巡りch,upd8,"15,300","724,243"
699,みゅみゅ,,,"15,300","72,836"
700,しぇいどch,,,"15,200","2,629,300"
701,瀬戸あさひ,,,"15,200","1,061,446"
702,真空管ドールズ フェルミ,真空管ドールズChannel,,"15,100","1,751,491"
703,ヤカ,YACA IN DA HOUSE,,"15,100","1,003,941"
